user_id,age,session_time_min,pages_viewed,clicks,purchase_amount,device_score,location_lat,location_lon,is_returning_user
0,56,13.1,4,2,36.34,0.786,-87.90023510858646,46.72347493111286,0
1,69,7.48,5,2,9.91,0.577,-36.789058870327416,110.54949780844123,0
2,46,1.9,4,1,74.7,0.508,36.50934026185678,8.001871785601082,0
3,32,2.56,6,2,19.79,0.068,-0.26155393861053255,23.46833069757227,0
4,60,1.03,4,2,55.73,0.565,24.192160748380843,-157.84737388829947,0
5,25,6.14,3,4,7.42,0.357,61.23692977618657,96.98444469035803,1
6,38,9.04,4,5,86.22,0.19,47.3293201775584,-136.4926029165464,1
7,56,8.7,6,4,5.44,0.047,15.749802554417101,128.5399247168158,1
8,36,32.8,3,5,6.87,0.528,14.25690908487509,-117.39035059281424,1
9,40,3.51,4,3,46.34,0.082,62.553408776632494,67.52522405969174,0
10,28,14.36,5,3,40.88,0.699,13.988468665856075,67.35484069791008,0
11,28,12.84,4,4,47.09,0.361,4.192185881873641,-85.32645022904951,0
12,41,0.63,5,6,36.05,0.989,55.38559387426676,-152.34740138791975,0
13,53,26.59,4,9,81.38,0.348,47.725111015336665,-64.4053617720252,1
14,57,26.78,3,3,35.82,0.709,-39.62093572155299,177.35800478995105,1
15,41,5.05,2,3,9.04,0.429,-76.08041855264963,-21.780175982877722,1
16,20,5.41,6,4,60.9,0.786,-3.758857851428246,81.7191900719535,0
17,39,17.13,3,1,44.41,0.904,53.983294629501074,-157.54806222883903,1
18,19,6.83,10,4,14.85,0.44,-40.922737745313,-23.778918198057283,0
19,41,16.05,6,3,19.38,0.423,-87.27357926635263,-67.02642951620746,0
20,61,0.37,6,1,9.0,0.044,-74.30909605664561,155.8158669232942,1
21,47,2.88,3,2,15.96,0.384,7.004773201872325,77.33811411577767,0
22,55,0.95,5,7,17.32,0.632,-36.27710234702155,-47.00892185471693,0
23,19,6.05,8,3,13.88,0.816,38.92131217090116,-80.45393880092381,0
24,38,19.25,5,5,70.9,0.611,59.636017188550625,116.98062907665349,0
25,50,8.43,3,4,54.03,0.369,-0.6256233273145426,-105.6159326308688,0
26,29,7.35,6,1,20.91,0.29,-79.05971392973755,-176.93887557549,1
27,39,4.56,0,6,4.38,0.123,44.72397607253757,37.39432453774634,1
28,61,0.66,5,1,34.11,0.837,74.4363862993317,-10.869746975016312,0
29,42,14.54,2,1,61.16,0.035,74.66663512645846,-178.53401988738594,0
30,66,8.46,4,6,21.09,0.987,56.91535637442294,122.66475349235577,0
31,44,26.73,6,2,92.91,0.222,-71.50773175561092,119.01839313513125,0
32,59,5.66,5,2,141.48,0.816,25.602554443952243,147.80203498124393,0
33,45,5.13,4,2,54.37,0.441,0.21019616465495972,44.62737063418439,0
34,33,36.63,4,1,40.94,0.421,-74.72999477339091,112.95689168311333,1
35,32,1.52,2,1,13.5,0.691,75.11036464715346,-30.947182920640216,1
36,64,2.91,1,4,43.48,0.894,-46.258889945161116,62.6447572627267,1
37,68,6.7,6,2,27.96,0.199,46.82498525344019,87.50465769299979,1
